adapter,nodes_count,edges_count,nodes_size_bytes,edges_size_bytes,total_size_bytes
UniProtKB-SwissProt,1011195,9595862,506459177,1360622472,1867081649
UniProtKB-Keywords,1201,1337,593297,141771,735068
PPI-IntAct,0,402948,0,54123493,54123493
PPI-BioGrid,0,1255058,0,136043432,136043432
PPI-STRING,0,2569107,0,212700194,212700194
InterPro,1153045389,0,52830598705,0,52830598705
Drug,728104,698916,103779562,65326105,169105667
Disease,219042,219041,6588691,15170620,21759311
Pathway,91580,44305,20602741,3370131,23972872
Side Effect,37152,13244,4049719,821154,4870873
EC,277343,7321,28421624,364048,28785672
ALL,1155411006,14807139,53501093516,1848683420,55349776936
